"code_lac","year","value","raw_value"
"ABB39",2010,0.81,0.81
"ABB39",2013,0.945,0.945
"ABB39",2016,0.939583333333333,0.939583333333333
"AIG15",2010,1.56458333333333,1.56458333333333
"AIG73",2009,1.135,1.135
"AIG73",2015,0.864583333333333,0.864583333333333
"ALE2B",2010,0.975,0.975
"ALE2B",2013,1.155,1.155
"ALE2B",2016,1.35416666666667,1.35416666666667
"ALL01",2010,0.94,0.94
"ALL01",2013,1.2,1.2
"ALL01",2016,1.41458333333333,1.41458333333333
"ALZ81",2011,1.03958333333333,1.03958333333333
"AMA10",2008,2.6,2.6
"AMA10",2009,2.32,2.32
"AMA10",2011,1.595,1.595
"AMA10",2014,1.24791666666667,1.24791666666667
"ANN74",2010,0.65625,0.65625
"ARJ40",2007,1.32,1.32
"ARJ40",2013,1.22916666666667,1.22916666666667
"AST32",2010,1.4,1.4
"AUR40",2008,2.58,2.58
"AUR40",2009,2.09333333333333,2.09333333333333
"AUR40",2010,2.6,2.6
"AUR40",2011,2.34,2.34
"AUR40",2012,1.64666666666667,1.64666666666667
"AUR40",2013,2.52,2.52
"AUR40",2014,2.39,2.39
"AUR40",2015,2.57708333333333,2.57708333333333
"AVE34",2009,0.85,0.85
"AVE34",2012,1.095,1.095
"AVE34",2015,1.60208333333333,1.60208333333333
"BAG12",2011,1.30555555555556,1.30555555555556
"BAG12",2012,2.3,2.3
"BAI08",2008,3.63333333333333,3.63333333333333
"BAI08",2011,6.03541666666667,6.03541666666667
"BIS40",2008,1.83,1.83
"BIS40",2009,1.67333333333333,1.67333333333333
"BIS40",2010,2.268,2.268
"BIS40",2011,1.84,1.84
"BIS40",2012,1.20666666666667,1.20666666666667
"BIS40",2013,1.668,1.668
"BIS40",2014,1.675,1.675
"BIS40",2015,1.75208333333333,1.75208333333333
"BMC16",2010,2.225,2.225
"BMS40",2009,3.69722222222222,3.69722222222222
"BMS40",2010,1.5,1.5
"BOU73",2010,0.855,0.855
"BOU73",2013,0.692708333333333,0.692708333333333
"BOU88",2010,2.125,2.125
"BOU88",2016,2.202,2.202
"BSA58",2008,2.24,2.24
"BSA58",2009,2.24,2.24
"BSA58",2011,1.915,1.915
"BSA58",2014,2.25833333333333,2.25833333333333
"BSF31",2011,1.625,1.625
"CAL2B",2014,1.38333333333333,1.38333333333333
"CAR66",2009,1.185,1.185
"CAR66",2012,0.997916666666667,0.997916666666667
"CAZ40",2007,1.405,1.405
"CAZ40",2009,0.96,0.96
"CAZ40",2010,1.144,1.144
"CAZ40",2011,0.855,0.855
"CAZ40",2012,1.15333333333333,1.15333333333333
"CAZ40",2013,1.208,1.208
"CAZ40",2014,1.4,1.4
"CAZ40",2015,1.075,1.075
"CHA25",2010,1.42,1.42
"CHA25",2013,1.39,1.39
"CHA25",2016,1.28125,1.28125
"CHA38",2010,0.627083333333333,0.627083333333333
"CHO04",2009,0.82,0.82
"CHO04",2012,0.66875,0.66875
"COI39",2010,0.815,0.815
"COI39",2013,0.96,0.96
"COI39",2016,1.01041666666667,1.01041666666667
"ECH33",2007,1.845,1.845
"ECH33",2009,1.72,1.72
"ECH33",2010,1.436,1.436
"ECH33",2011,1.1,1.1
"ECH33",2012,1.09333333333333,1.09333333333333
"ECH33",2013,1.184,1.184
"ECH33",2014,1.595,1.595
"ECH33",2015,1.34791666666667,1.34791666666667
"ECL28",2009,2.54,2.54
"ECL28",2012,2.1,2.1
"ECL28",2015,3.76666666666667,3.76666666666667
"ENT25",2011,1.45,1.45
"ENT25",2014,1.31875,1.31875
"FIG2A",2009,1.115,1.115
"FIG2A",2012,1.065,1.065
"FIG2A",2015,1.28958333333333,1.28958333333333
"FIL09",2011,1.33,1.33
"FIL09",2015,1.09375,1.09375
"GER88",2011,1.20625,1.20625
"GLC39",2009,0.84,0.84
"GLC39",2012,0.96,0.96
"GLC39",2015,0.747916666666667,0.747916666666667
"HAU19",2011,0.770833333333333,0.770833333333333
"ILA39",2009,1.06,1.06
"ILA39",2012,1.135,1.135
"ILA39",2015,1.1125,1.1125
"JOU11",2011,1.125,1.125
"JOU11",2014,1.29375,1.29375
"LAC33",2008,1.905,1.905
"LAC33",2009,1.51333333333333,1.51333333333333
"LAC33",2010,1.588,1.588
"LAC33",2011,1.32,1.32
"LAC33",2012,1.29333333333333,1.29333333333333
"LAC33",2013,1.416,1.416
"LAC33",2014,1.585,1.585
"LAC33",2015,1.71458333333333,1.71458333333333
"LAD16",2010,2.0125,2.0125
"LAF38",2009,1.08,1.08
"LAF38",2015,0.827083333333333,0.827083333333333
"LAR31",2010,1.83,1.83
"LAR31",2015,1.54583333333333,1.54583333333333
"LDC25",2010,1.395,1.395
"LDC25",2013,1.14,1.14
"LDC25",2016,1.69375,1.69375
"LDC63",2007,1.845,1.845
"LDC63",2009,1.02,1.02
"LDC63",2010,0.62,0.62
"LDC63",2011,0.925,0.925
"LDC63",2013,1.0975,1.0975
"LDC63",2015,0.922222222222222,0.922222222222222
"LEO40",2009,2.26,2.26
"LEO40",2010,1.68,1.68
"LEO40",2011,2.28,2.28
"LEO40",2012,2.14666666666667,2.14666666666667
"LEO40",2013,2.544,2.544
"LEO40",2014,3.565,3.565
"LEO40",2015,2.77083333333333,2.77083333333333
"LER27a",2008,2.39,2.39
"LER27a",2009,1.8,1.8
"LER27a",2014,1.35416666666667,1.35416666666667
"LGM27",2009,4.555,4.555
"LGM27",2012,3.71,3.71
"LGM27",2015,4.03958333333333,4.03958333333333
"LIE52",2008,2.62,2.62
"LIE52",2009,2.56,2.56
"LIE52",2011,2.325,2.325
"LIE52",2014,1.3375,1.3375
"LKW68",2009,1.79,1.79
"LKW68",2012,1.028,1.028
"LKW68",2015,0.883333333333333,0.883333333333333
"LON88",2010,1.38541666666667,1.38541666666667
"LPC38",2010,0.685,0.685
"LPC38",2013,2.855,2.855
"LPC38",2016,1.73958333333333,1.73958333333333
"LRO39",2011,1.14,1.14
"LRO39",2014,1.05833333333333,1.05833333333333
"MAD55",2011,1.245,1.245
"MAD55",2016,1.01266666666667,1.01266666666667
"MAU12",2011,1.14,1.14
"MAU12",2015,0.733333333333333,0.733333333333333
"MIC68",2010,1.68,1.68
"MIC68",2016,1.18566666666667,1.18566666666667
"MON38",2009,0.715,0.715
"MON38",2015,0.7375,0.7375
"MON71",2013,2.39,2.39
"MON71",2016,2.52708333333333,2.52708333333333
"NAN01",2007,1.905,1.905
"NAN01",2010,0.945,0.945
"NAN01",2013,0.815,0.815
"NAN01",2016,1.18125,1.18125
"OSP2A",2011,1.185,1.185
"OSP2A",2014,1.00625,1.00625
"PAL38",2011,1.215,1.215
"PAL38",2014,1.42916666666667,1.42916666666667
"PAR12",2007,1.53,1.53
"PAR12",2012,1.17916666666667,1.17916666666667
"PAR12",2013,1.2,1.2
"PAR40",2008,1.545,1.545
"PAR40",2009,1.02,1.02
"PAR40",2010,1.484,1.484
"PAR40",2011,1.195,1.195
"PAR40",2012,1.22,1.22
"PAR40",2013,1.236,1.236
"PAR40",2014,1.36,1.36
"PAR40",2015,1.2875,1.2875
"PAR54",2008,5.08,5.08
"PAR54",2011,1.975,1.975
"PET38",2009,1.03,1.03
"PET38",2012,0.94,0.94
"PET38",2015,0.995833333333333,0.995833333333333
"PPE14",2008,2.48,2.48
"PPE14",2009,2.63,2.63
"PPE14",2011,2.155,2.155
"PPE14",2014,1.25208333333333,1.25208333333333
"PRA33",2009,5.53958333333333,5.53958333333333
"QUI04",2011,0.975,0.975
"QUI04",2014,0.65625,0.65625
"RAB61",2008,2.4,2.4
"RAB61",2009,2.92,2.92
"RAB61",2011,2.305,2.305
"RAB61",2014,1.74791666666667,1.74791666666667
"RAV34",2011,1.05,1.05
"RCB01",2010,1.015,1.015
"RCB01",2013,1.255,1.255
"RCB01",2016,1.38125,1.38125
"RCS70",2011,1.445,1.445
"RCS70",2014,2.06041666666667,2.06041666666667
"REM25",2009,1.145,1.145
"REM25",2015,0.804166666666667,0.804166666666667
"SAL34",2010,1.025,1.025
"SAL34",2013,1.12,1.12
"SAL34",2016,1.19791666666667,1.19791666666667
"SAU38",2009,0.66,0.66
"SAU38",2015,0.533333333333333,0.533333333333333
"SCA83",2013,1.085,1.085
"SCA83",2016,1.0375,1.0375
"SCR04",2013,0.935,0.935
"SCR04",2016,0.629166666666667,0.629166666666667
"SET58",2009,2.01,2.01
"SET58",2012,1.42,1.42
"SET58",2015,1.37291666666667,1.37291666666667
"SOU40",2009,3.55333333333333,3.55333333333333
"SOU40",2010,3.312,3.312
"SOU40",2011,4.525,4.525
"SOU40",2012,2.96,2.96
"SOU40",2013,3.74,3.74
"SOU40",2014,4.84,4.84
"SOU40",2015,5.03333333333333,5.03333333333333
"SPO25",2009,1.015,1.015
"SPO25",2012,1.06,1.06
"SPO25",2015,0.883333333333333,0.883333333333333
"SYL01",2008,1.28,1.28
"SYL01",2011,1.095,1.095
"SYL01",2014,0.702083333333333,0.702083333333333
"TOL2A",2010,0.83,0.83
"TOL2A",2013,1.37,1.37
"TOL2A",2016,1.49166666666667,1.49166666666667
"TOR82",2011,2.38333333333333,2.38333333333333
"TRA02",2009,3.66,3.66
"TRA02",2012,3.12375,3.12375
"TRA02",2015,4.67777777777778,4.67777777777778
"TRE19",2010,1.90208333333333,1.90208333333333
"TSC32",2009,1.38888888888889,1.38888888888889
"TSC32",2010,1.2,1.2
"VAL39",2010,0.935,0.935
"VAL39",2013,0.995,0.995
"VAL39",2016,0.71875,0.71875
"VEZ50",2010,2.19375,2.19375
"VFO08",2008,1.87,1.87
"VFO08",2012,1.67291666666667,1.67291666666667
"VIL12",2010,1.375,1.375
"VIL12",2015,1.00833333333333,1.00833333333333
"VIN66",2009,2.045,2.045
"VIN66",2012,1.665,1.665
"VIN66",2015,1.51458333333333,1.51458333333333
"VOU39",2014,0.622916666666667,0.622916666666667
